,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taelor Karr,1,4,1,3,0,1,0,0,0,2,4,0,0,1,2,2,0.0,4.0
1,Katelan Redmon,5,15,5,15,0,0,0,1,3,4,3,1,0,2,1,10,0.0,1.5
2,Kelly Bowen,4,11,4,9,0,2,3,3,4,5,0,0,0,1,2,11,0.2727272727272727,0.0
3,Kayla Standish,11,20,11,20,0,0,3,3,1,1,3,2,0,0,4,25,0.15,0.0
4,Haiden Palmer,2,8,2,6,0,2,0,0,1,0,0,1,0,2,5,4,0.0,0.0
12,School Totals,27,67,26,61,1,6,7,9,11,14,12,8,1,10,19,62,0.1044776119402985,1.2
