,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Teaira McCowan,7,12,7,12,0,0,7,9,13,12,2,0,3,5,1,21,0.5833333333333334,0.4
1,Morgan William,2,8,1,5,1,3,5,6,1,1,4,1,1,3,1,10,0.625,1.3333333333333333
2,Victoria Vivians,11,21,9,16,2,5,1,3,0,4,1,0,0,3,5,25,0.047619047619047616,0.3333333333333333
3,Roshunda Johnson,2,6,1,3,1,3,2,2,1,1,0,0,0,2,2,7,0.3333333333333333,0.0
4,Blair Schaefer,0,3,0,1,0,2,0,0,0,3,0,0,0,0,2,0,0.0,0.0
9,School Totals,25,62,21,47,4,15,19,25,15,27,9,4,4,15,14,73,0.3064516129032258,0.6
