,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ieasia Walker,2,3,2,2,0,1,2,3,2,4,5,1,0,4,1,6,0.6666666666666666,1.25
1,La'Keisha Sutton,4,10,4,8,0,2,0,0,0,2,6,2,1,4,3,8,0.0,1.5
2,Charenee Stephens,5,8,5,8,0,0,1,2,2,4,0,0,1,1,0,11,0.125,0.0
3,Courtney Newton,1,3,0,0,1,3,0,0,0,1,1,2,1,0,1,3,0.0,0.0
4,Markeshia Grant,4,7,2,2,2,5,2,2,0,1,1,2,0,2,3,12,0.2857142857142857,0.5
13,School Totals,32,60,27,41,5,19,11,14,10,25,22,11,11,17,18,80,0.18333333333333332,1.2941176470588236
