,Missouri ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sophie Cunningham,7,10,7,8,0,2,6,7,0,5,2,3,0,4,4,20,0.6,0.5
1,Morgan Stock,4,5,1,1,3,4,3,4,1,1,1,0,0,0,1,14,0.6,0.0
2,Jordan Frericks,8,13,8,13,0,0,3,5,0,9,2,1,0,5,3,19,0.23076923076923078,0.4
3,Lindsey Cunningham,1,2,1,2,0,0,0,0,0,2,5,0,0,3,5,2,0.0,1.6666666666666667
4,Cierra Porter,1,4,1,3,0,1,0,0,1,0,0,0,0,1,3,2,0.0,0.0
11,School Totals,25,44,20,29,5,15,23,28,4,23,15,6,0,18,23,78,0.5227272727272727,0.8333333333333334
