,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'dia Mathies,9,15,7,12,2,3,12,17,1,3,2,4,1,5,4,32,0.8,0.4
1,Victoria Dunlap,3,9,3,9,0,0,9,10,2,6,3,5,0,1,2,15,1.0,3.0
2,Amber Smith,1,4,1,4,0,0,1,2,0,0,7,1,0,5,2,3,0.25,1.4
3,Keyla Snowden,4,7,0,0,4,7,3,4,0,0,0,0,0,1,2,15,0.42857142857142855,0.0
4,Amani Franklin,4,6,3,5,1,1,0,0,1,2,0,2,0,1,2,9,0.0,0.0
9,School Totals,25,49,18,38,7,11,26,36,9,17,15,16,2,15,17,83,0.5306122448979592,1.0
