,Missouri ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Aldridge,2,8,0,0,2,8,0,0,1,1,3,1,1,1,0,6,0.0,3.0
1,Amber Smith,9,19,6,12,3,7,0,0,4,5,4,1,0,2,2,21,0.0,2.0
2,Sophie Cunningham,3,11,1,2,2,9,0,0,0,1,2,0,0,1,3,8,0.0,2.0
3,Cierra Porter,4,10,4,10,0,0,1,2,4,2,0,1,0,3,4,9,0.1,0.0
4,Jordan Roundtree,2,5,1,2,1,3,0,0,1,3,2,0,0,3,1,5,0.0,0.6666666666666666
12,School Totals,21,58,12,27,9,31,1,2,13,13,15,4,3,13,12,52,0.017241379310344827,1.1538461538461537
