,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,4,14,4,13,0,1,0,0,2,4,7,2,0,2,3,8,0.0,3.5
1,Kelsey Lang,2,7,2,7,0,0,0,2,2,10,4,0,4,0,4,4,0.0,0.0
2,Ariel Atkins,6,14,4,10,2,4,4,4,0,4,2,1,0,3,5,18,0.2857142857142857,0.6666666666666666
3,Joyner Holmes,5,13,5,12,0,1,5,6,1,6,1,0,1,3,3,15,0.38461538461538464,0.3333333333333333
4,Brianna Taylor,1,2,1,2,0,0,0,0,2,1,2,0,0,0,1,2,0.0,0.0
8,School Totals,26,65,22,52,4,13,10,15,7,25,19,4,5,9,24,66,0.15384615384615385,2.111111111111111
