,Georgetown ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Monica McNutt,1,7,0,0,1,7,0,0,1,0,1,0,0,1,3,3,0.0,1.0
1,Latia Magee,3,10,2,8,1,2,1,2,3,3,1,2,1,1,4,8,0.1,1.0
2,Sugar Rodgers,2,14,2,9,0,5,5,6,0,3,1,2,0,2,2,9,0.35714285714285715,0.5
3,Shanice Fuller,1,7,0,5,1,2,0,0,2,2,1,1,0,3,4,3,0.0,0.3333333333333333
4,Jaleesa Butler,3,13,3,12,0,1,0,0,2,5,0,0,2,1,2,6,0.0,0.0
11,School Totals,12,70,9,52,3,18,6,10,15,23,9,8,5,13,24,33,0.08571428571428572,0.6923076923076923
