,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Morghan Medlock,5,9,5,9,0,0,1,3,3,13,0,0,0,2,2,11,0.1111111111111111,0.0
1,Melissa Jones,1,8,1,5,0,3,6,6,3,7,4,3,1,1,1,8,0.75,4.0
2,Kelli Griffin,1,3,1,3,0,0,1,4,0,3,5,3,1,6,0,3,0.3333333333333333,0.8333333333333334
3,Brittney Griner,2,7,2,7,0,0,3,7,0,6,0,0,14,3,3,7,0.42857142857142855,0.0
4,Kimetria Hayden,3,5,3,4,0,1,2,2,0,4,0,2,0,4,1,8,0.4,0.0
9,School Totals,16,42,16,38,0,4,17,27,7,37,10,8,16,20,10,49,0.40476190476190477,0.5
