,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rennia Davis,8,14,8,11,0,3,5,8,2,8,3,1,2,4,4,21,0.35714285714285715,0.75
1,Evina Westbrook,2,10,1,5,1,5,1,2,2,3,9,1,0,6,3,6,0.1,1.5
2,Meme Jackson,3,5,1,1,2,4,0,0,0,1,4,1,0,1,2,8,0.0,4.0
3,Mimi Collins,5,12,4,10,1,2,3,4,1,2,0,0,0,0,3,14,0.25,0.0
4,Cheridene Green,2,4,2,4,0,0,1,3,2,5,0,0,0,0,3,5,0.25,0.0
9,School Totals,30,65,26,50,4,15,13,25,14,23,17,4,3,16,23,77,0.2,1.0625
