,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jenny Ryan,3,5,3,4,0,1,0,1,0,8,7,1,1,2,3,6,0.0,3.5
1,Carmen Reynolds,6,9,1,2,5,7,3,4,0,5,1,1,1,3,3,20,0.3333333333333333,0.3333333333333333
2,Courtney Boylan,6,14,6,12,0,2,0,0,1,2,2,0,0,0,1,12,0.0,0.0
3,Rachel Sheffer,1,4,1,3,0,1,1,3,0,0,1,0,0,2,1,3,0.25,0.5
4,Nya Jordan,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0.0,0.0
11,School Totals,25,58,17,35,8,23,9,14,5,25,11,4,2,14,15,67,0.15517241379310345,0.7857142857142857
