,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiara Lewis,2,12,2,8,0,4,4,4,2,0,1,1,0,5,1,8,0.3333333333333333,0.2
1,Tiana Mangakahia,3,8,2,4,1,4,0,0,1,1,3,0,0,4,1,7,0.0,0.75
2,Emily Engstler,4,15,2,10,2,5,2,4,3,5,1,2,1,4,2,12,0.13333333333333333,0.25
3,Digna Strautmane,1,5,1,4,0,1,1,2,1,2,0,0,0,2,5,3,0.2,0.0
4,Kamilla Cardoso,5,9,5,9,0,0,2,2,4,3,0,1,1,1,4,12,0.2222222222222222,0.0
7,School Totals,16,57,13,42,3,15,12,16,13,16,7,4,4,18,18,47,0.21052631578947367,0.3888888888888889
