,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Griner,11,16,11,16,0,0,4,6,1,12,1,0,5,2,1,26,0.25,0.5
1,Odyssey Sims,6,16,4,10,2,6,5,5,4,3,4,2,0,2,5,19,0.3125,2.0
2,Jordan Madden,0,2,0,0,0,2,0,0,1,5,5,0,1,1,3,0,0.0,5.0
3,Kimetria Hayden,3,11,1,8,2,3,0,0,2,2,5,0,0,1,1,8,0.0,5.0
4,Destiny Williams,5,7,5,7,0,0,2,2,4,2,2,0,0,2,1,12,0.2857142857142857,1.0
11,School Totals,29,58,25,47,4,11,18,21,16,29,20,2,6,9,13,80,0.3103448275862069,2.2222222222222223
