,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Auburn,78.5,0.347,10.6,36.2,0.16,81.0
1,Brigham Young,78.5,0.517,18.9,17.9,0.203,92.4
