,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Peterson,7,17,5,11,2,6,6,8,0,2,6,2,0,5,0,22,0.35294117647058826,1.2
1,Brittney Sykes,7,14,6,8,1,6,9,10,1,4,0,5,0,1,2,24,0.6428571428571429,0.0
2,Brianna Butler,2,11,0,3,2,8,0,0,0,1,3,0,0,0,2,6,0.0,0.0
3,Briana Day,1,2,1,2,0,0,1,6,3,3,0,0,0,1,5,3,0.5,0.0
4,Isabella Slim,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0.0,0.0
9,School Totals,22,56,14,29,8,27,24,35,10,22,13,11,3,16,18,76,0.42857142857142855,0.8125
