,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Allisha Gray,7,15,5,10,2,5,4,5,1,6,5,1,0,2,3,20,0.26666666666666666,2.5
1,Brittany Rountree,5,9,0,2,5,7,0,0,0,1,3,0,0,2,4,15,0.0,1.5
2,Stephanie Mavunga,13,18,13,18,0,0,1,2,4,10,2,1,4,2,2,27,0.05555555555555555,1.0
3,N'Dea Bryant,3,8,3,8,0,0,1,2,2,6,0,0,0,3,3,7,0.125,0.0
4,Latifah Coleman,2,9,2,7,0,2,2,5,0,2,4,4,0,4,2,6,0.2222222222222222,1.0
10,School Totals,34,73,26,56,8,17,10,16,12,30,19,6,4,16,19,86,0.136986301369863,1.1875
