,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Karlie Samuelson,5,11,1,3,4,8,1,3,0,5,5,0,0,0,3,15,0.09090909090909091,0.0
1,Erica McCall,9,14,9,12,0,2,5,8,6,6,3,1,1,3,3,23,0.35714285714285715,1.0
2,Brittany McPhee,3,9,2,6,1,3,5,6,0,5,3,0,1,3,3,12,0.5555555555555556,1.0
3,Briana Roberson,1,4,0,0,1,4,3,4,1,1,0,0,0,1,2,6,0.75,0.0
4,Kaylee Johnson,2,4,2,4,0,0,1,3,2,1,0,0,0,2,1,5,0.25,0.0
11,School Totals,25,59,18,37,7,22,20,30,12,26,17,4,3,14,17,77,0.3389830508474576,1.2142857142857142
