,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Xavier ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Courtney Vandersloot,37,.375,.375,.250,.000,6.6,18.6,12.2,67.0,7.3,2.5,42.9,18.5,72,91
1,Vivian Frieson,36,.415,.250,.250,.750,0.0,15.3,7.2,5.9,3.0,5.2,22.0,18.6,74,102
2,Heather Bowman,34,.432,.333,.000,.333,3.6,4.1,3.8,7.2,0.0,2.7,12.7,22.7,86,114
3,Tiffanie Shives,34,.550,.550,.600,.000,0.0,8.1,3.8,0.0,1.6,0.0,0.0,14.4,111,110
4,Janelle Bekkering,14,.256,.000,1.000,2.000,0.0,9.9,4.6,0.0,7.7,0.0,61.5,17.1,21,95
6,Katelan Redmon,26,.500,.500,.000,.000,18.6,5.3,12.4,0.0,0.0,0.0,6.7,28.3,100,114
7,Kayla Standish,9,.233,.200,.000,.600,13.5,15.3,14.3,0.0,12.0,10.3,0.0,34.4,60,79
8,Kelly Bowen,6,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.3,0,116
9,Tatriana Lorenzo,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117
10,Claire Raap,1,,,,,0.0,100.0,64.5,0.0,0.0,0.0,,0.0,,60
11,Shannon Reader,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117
12,School Totals,200,.423,.381,.203,.254,24.2,55.2,38.7,61.9,16.2,11.6,19.5,100.0,75.7,100.0
