,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,DaNae Moore,5,9,5,8,0,1,4,4,1,1,2,0,0,1,3,14,0.4444444444444444,2.0
1,Carli Tritz,3,10,2,7,1,3,7,7,1,5,5,3,0,2,3,14,0.7,2.5
2,Ally Jensen,5,13,1,4,4,9,1,1,0,2,1,4,0,3,1,15,0.07692307692307693,0.3333333333333333
3,Sarah Nelson,3,6,3,5,0,1,0,0,1,5,3,1,2,1,4,6,0.0,3.0
4,McKenzie Fujan,4,6,3,4,1,2,0,0,0,2,2,0,0,4,1,9,0.0,0.5
11,School Totals,24,53,17,32,7,21,12,12,4,20,17,10,2,14,16,67,0.22641509433962265,1.2142857142857142
