,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kachine Alexander,4,8,2,4,2,4,8,12,1,7,4,0,0,6,0,18,1.0,0.6666666666666666
1,Jaime Printy,4,13,1,5,3,8,4,4,1,4,3,0,0,1,1,15,0.3076923076923077,3.0
2,Kamille Wahlin,4,10,1,4,3,6,4,6,0,3,3,1,0,5,0,15,0.4,0.6
3,Morgan Johnson,4,5,4,5,0,0,4,4,3,3,0,0,1,1,2,12,0.8,0.0
4,Kelly Krei,3,5,1,1,2,4,2,2,2,3,0,2,0,4,4,10,0.4,0.0
8,School Totals,19,44,9,21,10,23,22,28,7,23,12,4,1,18,11,70,0.5,0.6666666666666666
