,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Logic,5,7,4,5,1,2,0,2,0,9,10,0,0,4,0,11,0.0,2.5
1,Theairra Taylor,8,11,3,3,5,8,1,2,0,7,2,3,0,2,2,22,0.09090909090909091,1.0
2,Bethany Doolitte,9,15,9,15,0,0,3,3,2,6,1,0,1,4,4,21,0.2,0.25
3,Ally Disterhoft,3,9,1,3,2,6,2,2,1,3,1,0,0,3,3,10,0.2222222222222222,0.3333333333333333
4,Melissa Dixon,4,7,1,1,3,6,1,1,0,0,2,0,0,1,3,12,0.14285714285714285,2.0
11,School Totals,32,56,20,31,12,25,11,15,8,30,19,3,1,17,20,87,0.19642857142857142,1.1176470588235294
