,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tayler Hill,9,15,6,9,3,6,2,2,1,2,4,4,2,2,3,23,0.13333333333333333,2.0
1,Samantha Prahalis,4,13,4,10,0,3,1,2,0,3,3,1,0,2,1,9,0.07692307692307693,1.5
2,Ashley Adams,5,9,5,9,0,0,1,2,0,14,4,1,7,2,1,11,0.1111111111111111,2.0
3,Amber Stokes,6,12,6,11,0,1,0,0,0,1,2,1,2,3,3,12,0.0,0.6666666666666666
4,Kalpana Beach,2,3,2,3,0,0,0,0,0,1,0,0,0,1,1,4,0.0,0.0
9,School Totals,28,59,24,48,4,11,5,10,4,25,13,7,11,13,12,65,0.0847457627118644,1.0
