,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Mikesell,6,13,2,3,4,10,0,0,1,2,6,0,0,1,0,16,0.0,6.0
1,Blair Watson,2,5,1,1,1,4,0,0,2,5,2,2,0,1,3,5,0.0,2.0
2,Stephanie Jones,6,8,6,8,0,0,0,0,0,6,1,1,1,0,4,12,0.0,0.0
3,Kaila Charles,7,16,7,16,0,0,0,0,2,7,4,0,1,2,1,14,0.0,2.0
4,Shakira Austin,4,8,4,8,0,0,3,8,2,7,1,4,1,3,4,11,0.375,0.3333333333333333
10,School Totals,31,66,26,51,5,15,6,11,8,36,22,11,4,12,15,73,0.09090909090909091,1.8333333333333333
