,Vanderbilt ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Christina Foggie,4,11,2,5,2,6,6,8,1,1,6,2,0,3,3,16,0.5454545454545454,2.0
1,Jasmine Lister,3,8,2,4,1,4,2,2,0,1,4,0,0,0,4,9,0.25,0.0
2,Marqu'es Webb,8,14,8,14,0,0,2,7,5,3,0,0,0,3,4,18,0.14285714285714285,0.0
3,Morgan Batey,4,5,4,5,0,0,0,2,2,0,1,1,0,1,1,8,0.0,1.0
4,Kady Schrann,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
8,School Totals,22,46,19,36,3,10,14,27,12,8,14,6,0,10,16,61,0.30434782608695654,1.4
