,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Teaira McCowan,6,10,6,10,0,0,7,8,7,8,2,0,4,1,3,19,0.7,2.0
1,Jazzmun Holmes,6,14,6,14,0,0,3,3,1,2,13,2,1,0,3,15,0.21428571428571427,0.0
2,Anriel Howard,7,14,5,10,2,4,2,4,4,2,3,1,0,1,3,18,0.14285714285714285,3.0
3,Andra Espinoza-Hunter,4,9,0,2,4,7,0,0,0,0,0,0,0,1,1,12,0.0,0.0
4,Jordan Danberry,5,11,5,11,0,0,2,2,1,2,2,0,1,1,2,12,0.18181818181818182,2.0
7,School Totals,31,64,23,50,8,14,14,19,13,15,21,4,6,4,15,84,0.21875,5.25
