,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,12,20,7,12,5,8,2,2,3,4,8,1,0,2,1,31,0.1,4.0
1,Satou Sabally,7,15,4,7,3,8,5,6,1,6,3,0,3,3,4,22,0.3333333333333333,1.0
2,Maite Cazorla,4,9,1,5,3,4,0,0,0,1,6,0,0,1,1,11,0.0,6.0
3,Ruthy Hebard,6,8,6,8,0,0,2,4,3,2,1,0,2,1,3,14,0.25,1.0
4,Erin Boley,2,6,0,0,2,6,2,2,0,2,0,1,0,1,1,8,0.3333333333333333,0.0
7,School Totals,32,59,19,33,13,26,11,14,8,16,18,2,5,8,14,88,0.1864406779661017,2.25
