,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayleigh Truong,5,11,5,8,0,3,4,5,1,3,2,1,0,6,2,14,0.36363636363636365,0.3333333333333333
1,Melody Kempton,4,10,4,10,0,0,5,5,4,2,2,1,1,2,3,13,0.5,1.0
2,Cierra Walker,2,7,0,0,2,7,4,4,1,5,2,0,0,2,1,10,0.5714285714285714,1.0
3,Abby O'Connor,0,4,0,2,0,2,1,2,2,3,0,1,0,1,2,1,0.25,0.0
4,Anamaria Virjoghe,1,3,1,3,0,0,0,0,1,4,0,1,1,3,2,2,0.0,0.0
9,School Totals,19,50,15,30,4,20,17,20,12,22,10,5,3,17,15,59,0.34,0.5882352941176471
