,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine James,4,14,4,13,0,1,2,6,1,3,2,2,1,2,1,10,0.14285714285714285,1.0
1,Meredith Mitchell,1,10,1,7,0,3,0,3,3,4,2,1,0,4,2,2,0.0,0.5
2,Porsha Phillips,2,8,2,8,0,0,2,2,2,5,2,0,2,0,0,6,0.25,0.0
3,Khaalidah Miller,3,13,0,3,3,10,0,0,2,3,1,0,0,4,0,9,0.0,0.25
4,Jasmine Hassell,3,4,3,4,0,0,0,0,1,1,0,0,0,1,3,6,0.0,0.0
9,School Totals,15,60,11,41,4,19,4,13,12,21,10,4,7,14,13,38,0.06666666666666667,0.7142857142857143
