,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Smith,3,9,2,6,1,3,2,2,1,1,1,2,0,8,2,9,0.2222222222222222,0.125
1,Victoria Dunlap,10,18,10,18,0,0,11,12,8,5,3,3,0,2,3,31,0.6111111111111112,1.5
2,A'dia Mathies,4,14,4,12,0,2,1,2,3,2,2,4,0,2,2,9,0.07142857142857142,1.0
3,Keyla Snowden,1,10,0,3,1,7,0,0,0,1,0,0,0,0,4,3,0.0,0.0
4,Amani Franklin,2,9,2,7,0,2,0,0,1,3,0,2,0,0,1,4,0.0,0.0
8,School Totals,23,70,21,53,2,17,20,22,18,13,6,12,0,14,17,68,0.2857142857142857,0.42857142857142855
