,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nyeshia Stevenson,12,17,9,10,3,7,4,5,0,2,3,5,0,5,1,31,0.23529411764705882,0.6
1,Amanda Thompson,6,11,5,7,1,4,4,4,3,11,1,0,0,3,3,17,0.36363636363636365,0.3333333333333333
2,Danielle Robinson,6,11,6,11,0,0,4,4,1,4,6,2,0,6,5,16,0.36363636363636365,1.0
3,Abi Olajuwon,3,5,3,5,0,0,0,0,2,1,0,0,1,2,2,6,0.0,0.0
4,Jasmine Hartman,2,3,2,2,0,1,0,0,0,1,1,1,0,2,2,4,0.0,0.5
10,School Totals,32,52,27,37,5,15,19,21,8,27,15,8,2,21,18,88,0.36538461538461536,0.7142857142857143
