,Troy ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Beverly-Kelley,4,19,3,14,1,5,0,2,1,7,1,1,0,5,2,9,0.0,0.2
1,ArJae' Saunders,1,11,1,10,0,1,0,0,1,0,0,1,0,1,2,2,0.0,0.0
2,Caitlyn Ramirez,1,9,1,5,0,4,0,0,0,7,0,0,0,1,4,2,0.0,0.0
3,Amanda Mendoza,0,4,0,1,0,3,0,0,1,0,3,0,0,0,2,0,0.0,0.0
4,Kristen Emerson,3,10,2,9,1,1,2,2,2,6,0,0,4,0,1,9,0.2,0.0
13,School Totals,12,74,9,52,3,22,4,9,7,28,6,7,5,13,18,31,0.05405405405405406,0.46153846153846156
