,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,4,11,2,4,2,7,0,0,0,10,7,3,1,1,2,10,0.0,7.0
1,Gabriella Hanson,4,8,3,5,1,3,0,1,1,1,4,4,0,1,0,9,0.0,4.0
2,Ruth Hamblin,6,7,6,7,0,0,6,7,6,12,1,1,5,4,0,18,0.8571428571428571,0.25
3,Jamie Weisner,1,7,1,4,0,3,0,0,1,4,3,0,0,1,0,2,0.0,3.0
4,Deven Hunter,1,6,1,4,0,2,0,0,1,1,1,0,1,3,1,2,0.0,0.3333333333333333
12,School Totals,29,69,24,46,5,23,10,16,13,46,24,11,8,18,5,73,0.14492753623188406,1.3333333333333333
