,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Teaira McCowan,11,11,11,11,0,0,2,2,4,11,0,1,4,3,3,24,0.18181818181818182,0.0
1,Victoria Vivians,5,11,3,9,2,2,2,2,0,5,3,1,1,2,2,14,0.18181818181818182,1.5
2,Morgan William,4,10,3,8,1,2,4,4,0,1,8,0,2,1,2,13,0.4,8.0
3,Roshunda Johnson,5,10,5,7,0,3,2,2,1,2,2,1,0,0,1,12,0.2,0.0
4,Blair Schaefer,0,2,0,0,0,2,0,0,0,1,0,1,0,1,4,0,0.0,0.0
11,School Totals,28,53,25,42,3,11,12,13,5,23,14,4,7,7,16,71,0.22641509433962265,2.0
