,Sacred Heart ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabrielle Washington,5,11,4,9,1,2,2,4,2,2,3,2,0,3,2,13,0.18181818181818182,1.0
1,Callan Taylor,4,7,4,6,0,1,2,6,1,3,2,1,0,3,2,10,0.2857142857142857,0.6666666666666666
2,Ericka Norman,3,10,1,6,2,4,0,0,0,4,7,3,0,6,4,8,0.0,1.1666666666666667
3,Alexis Campbell,2,8,2,3,0,5,0,0,1,0,1,1,0,0,1,4,0.0,0.0
4,Enjoli Bland,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0.0,0.0
10,School Totals,20,51,15,33,5,18,5,11,7,13,15,10,0,19,18,50,0.09803921568627451,0.7894736842105263
