,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Metra Walthour,3,7,1,4,2,3,0,0,0,1,1,0,0,2,0,8,0.0,0.5
1,Sasha Goodlett,4,8,4,8,0,0,4,6,7,4,0,0,0,2,1,12,0.5,0.0
2,Tyaunna Marshall,1,7,1,7,0,0,0,0,0,0,2,1,1,0,1,2,0.0,0.0
3,Dawnn Maye,2,6,2,5,0,1,4,4,0,1,4,4,0,4,3,8,0.6666666666666666,1.0
4,Tjasa Gortnar,0,1,0,1,0,0,3,4,1,2,0,1,1,1,2,3,3.0,0.0
13,School Totals,27,51,19,39,8,12,14,19,10,17,13,12,3,19,13,76,0.27450980392156865,0.6842105263157895
