,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cate Reese,7,9,6,8,1,1,1,1,0,6,0,1,2,1,1,16,0.1111111111111111,0.0
1,Sam Thomas,1,1,1,1,0,0,0,0,0,3,3,6,0,0,2,2,0.0,0.0
2,Bendu Yeaney,2,5,2,5,0,0,0,0,0,2,6,3,1,2,2,4,0.0,3.0
3,Aari McDonald,8,14,6,9,2,5,2,2,0,0,4,3,0,4,3,20,0.14285714285714285,1.0
4,Trinity Baptiste,8,10,6,8,2,2,0,0,2,4,0,3,0,0,4,18,0.0,0.0
13,School Totals,33,57,25,45,8,12,5,10,6,22,18,17,6,14,19,79,0.08771929824561403,1.2857142857142858
