,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Joens,5,14,3,8,2,6,0,0,1,9,1,3,0,1,1,12,0.0,1.0
1,Lexi Donarski,5,13,1,4,4,9,6,6,0,3,1,1,1,2,3,20,0.46153846153846156,0.5
2,Emily Ryan,5,13,3,10,2,3,3,4,1,5,9,3,1,4,1,15,0.23076923076923078,2.25
3,Morgan Kane,4,11,4,10,0,1,2,3,3,3,0,1,0,1,1,10,0.18181818181818182,0.0
4,Nyamer Diew,1,3,0,1,1,2,2,3,0,3,2,0,1,1,1,5,0.6666666666666666,2.0
11,School Totals,22,60,13,37,9,23,14,20,7,31,13,8,3,12,8,67,0.23333333333333334,1.0833333333333333
