,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Que Morrison,3,13,1,8,2,5,2,2,0,3,2,2,0,2,2,10,0.15384615384615385,1.0
1,Jenna Staiti,8,17,8,15,0,2,0,0,1,8,0,0,5,3,2,16,0.0,0.0
2,Sarah Ashlee Barker,1,7,0,1,1,6,0,0,1,3,2,2,0,2,1,3,0.0,1.0
3,Mikayla Coombs,1,7,1,7,0,0,0,0,2,0,1,0,1,1,2,2,0.0,1.0
4,Javyn Nicholson,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0
11,School Totals,19,62,15,46,4,16,2,2,9,25,13,7,13,15,18,44,0.03225806451612903,0.8666666666666667
