,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caliya Robinson,5,10,5,10,0,0,1,2,4,8,3,3,3,2,1,11,0.1,1.5
1,Haley Clark,1,5,1,5,0,0,0,0,1,2,2,3,0,1,3,2,0.0,2.0
2,Que Morrison,2,9,2,8,0,1,1,2,1,3,2,1,2,2,1,5,0.1111111111111111,1.0
3,Mackenzie Engram,2,13,2,10,0,3,1,4,6,0,0,1,1,2,4,5,0.07692307692307693,0.0
4,Taja Cole,1,7,1,5,0,2,0,0,0,0,0,0,0,4,3,2,0.0,0.0
11,School Totals,16,68,15,51,1,17,7,14,17,17,8,10,7,16,15,40,0.10294117647058823,0.5
