,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond DeShields,8,16,7,13,1,3,2,3,0,3,0,2,2,0,3,19,0.125,0.0
1,Xylina McDaniel,0,8,0,5,0,3,1,2,0,6,2,2,0,2,2,1,0.125,1.0
2,Stephanie Mavunga,6,15,6,14,0,1,1,1,4,5,1,3,2,1,4,13,0.06666666666666667,1.0
3,Latifah Coleman,3,4,2,2,1,2,2,4,0,2,2,0,0,2,0,9,0.5,1.0
4,Allisha Gray,2,6,1,3,1,3,0,0,1,3,1,0,0,2,2,5,0.0,0.5
10,School Totals,24,58,20,44,4,14,13,18,8,24,11,7,4,12,15,65,0.22413793103448276,0.9166666666666666
