,Seton Hall ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tabatha Richardson-Smith,7,23,4,10,3,13,0,0,0,3,0,2,0,2,1,17,0.0,0.0
1,Aleesha Powell,5,13,2,7,3,6,0,0,2,4,5,4,1,1,3,13,0.0,5.0
2,Tiffany Jones,2,8,1,4,1,4,3,4,2,3,0,0,2,3,3,8,0.375,0.0
3,Shakena Richardson,5,9,4,7,1,2,2,2,1,2,6,1,0,4,1,13,0.2222222222222222,1.5
4,Lubirdia Gordon,0,2,0,2,0,0,0,0,2,4,0,0,3,3,3,0,0.0,0.0
11,School Totals,29,72,18,40,11,32,7,8,10,21,13,10,6,19,19,76,0.09722222222222222,0.6842105263157895
