,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destini Hughes,1,3,0,2,1,1,2,2,0,0,1,0,0,0,2,5,0.6666666666666666,0.0
1,Allison Hightower,5,11,5,11,0,0,0,0,4,3,2,1,1,2,0,10,0.0,1.0
2,LaSondra Barrett,5,11,5,11,0,0,10,11,2,6,0,1,0,1,1,20,0.9090909090909091,0.0
3,Katherine Graham,2,7,2,7,0,0,3,4,3,6,4,3,1,3,1,7,0.42857142857142855,1.3333333333333333
4,Courtney Jones,4,8,4,7,0,1,2,3,3,2,2,1,0,2,1,10,0.25,1.0
11,School Totals,18,56,17,49,1,7,23,30,17,25,9,7,4,13,9,60,0.4107142857142857,0.6923076923076923
