,New Mexico State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Moriah Mack,5,9,5,8,0,1,1,2,2,2,1,2,0,3,3,11,0.1111111111111111,0.3333333333333333
1,Shanice Davis,2,11,2,5,0,6,4,4,1,3,1,2,0,5,3,8,0.36363636363636365,0.2
2,Sasha Weber,6,12,2,3,4,9,2,2,0,2,0,0,0,7,2,18,0.16666666666666666,0.0
3,Brooke Salas,3,6,3,4,0,2,2,2,0,2,1,1,0,4,4,8,0.3333333333333333,0.25
4,Brianna Freeman,2,5,2,5,0,0,0,2,2,1,0,1,0,1,3,4,0.0,0.0
10,School Totals,19,56,15,36,4,20,10,14,10,16,5,10,3,21,18,52,0.17857142857142858,0.23809523809523808
