,Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Calli Berna,1,3,0,1,1,2,2,2,1,5,8,0,0,3,1,5,0.6666666666666666,2.6666666666666665
1,Jhasmin Bowen,2,11,2,11,0,0,3,6,4,4,1,3,0,3,2,7,0.2727272727272727,0.3333333333333333
2,Jessica Jackson,4,18,3,10,1,8,6,8,3,2,1,1,0,2,4,15,0.3333333333333333,0.5
3,Melissa Wolff,6,10,6,10,0,0,1,3,4,0,0,1,1,0,4,13,0.1,0.0
4,Kelsey Brooks,2,15,2,11,0,4,0,0,0,0,1,3,0,0,2,4,0.0,0.0
8,School Totals,15,61,13,45,2,16,12,19,13,12,11,10,1,9,19,44,0.19672131147540983,1.2222222222222223
