,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Niya Johnson,2,3,2,3,0,0,6,6,1,3,12,2,0,2,2,10,2.0,6.0
1,Nina Davis,8,13,8,13,0,0,5,9,3,5,2,1,1,2,3,21,0.38461538461538464,1.0
2,Sune Agbuke,1,2,1,2,0,0,3,5,2,10,2,2,8,2,1,5,1.5,1.0
3,Alexis Prince,4,8,3,5,1,3,2,2,1,1,2,0,1,0,1,11,0.25,0.0
4,Imani Wright,0,4,0,3,0,1,0,0,1,3,1,0,0,2,1,0,0.0,0.5
11,School Totals,24,49,20,39,4,10,21,28,13,29,22,8,11,16,18,73,0.42857142857142855,1.375
