,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,April Wilson,3,9,3,7,0,2,3,6,0,5,4,2,0,1,1,9,0.3333333333333333,4.0
1,Ashley Morrissette,3,13,1,8,2,5,0,0,0,1,0,1,0,3,4,8,0.0,0.0
2,Andreona Keys,2,5,2,5,0,0,0,0,1,0,3,0,0,3,2,4,0.0,1.0
3,Torrie Thornton,0,5,0,5,0,0,2,2,0,1,1,1,0,1,0,2,0.4,1.0
4,Bridget Perry,1,6,1,6,0,0,0,0,1,2,0,0,2,2,2,2,0.0,0.0
10,School Totals,18,64,14,53,4,11,5,13,11,21,11,5,3,13,13,45,0.078125,0.8461538461538461
