,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,April Sykes,9,20,7,14,2,6,1,1,0,3,2,4,1,3,2,21,0.05,0.6666666666666666
1,Khadijah Rushdan,2,9,2,9,0,0,0,0,0,4,2,2,1,7,2,4,0.0,0.2857142857142857
2,Erica Wheeler,4,11,2,5,2,6,2,2,0,2,2,2,0,1,4,12,0.18181818181818182,2.0
3,Chelsey Lee,1,4,1,4,0,0,3,6,5,6,0,0,2,3,3,5,0.75,0.0
4,Daisha Simmons,1,4,1,4,0,0,0,0,3,0,2,0,0,1,3,2,0.0,2.0
10,School Totals,19,53,15,41,4,12,6,9,9,15,13,8,5,20,17,48,0.11320754716981132,0.65
