,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,6,17,6,16,0,1,11,11,5,9,2,2,0,5,4,23,0.6470588235294118,0.4
1,Lynetta Kizer,4,7,4,7,0,0,3,8,5,5,1,0,0,1,2,11,0.42857142857142855,1.0
2,Anjale Barrett,1,8,0,5,1,3,1,2,2,0,3,3,0,5,1,4,0.125,0.6
3,Kim Rodgers,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0.0,0.0
4,Diandra Tchatchouang,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,School Totals,18,57,15,41,3,16,18,26,17,20,11,8,1,19,21,57,0.3157894736842105,0.5789473684210527
