,Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jennifer George,2,5,2,5,0,0,0,0,3,2,1,2,3,5,2,4,0.0,0.2
1,Azania Stewart,6,13,6,13,0,0,2,2,3,1,3,1,1,1,4,14,0.15384615384615385,3.0
2,Jaterra Bonds,2,8,2,3,0,5,0,0,1,3,3,1,0,3,3,4,0.0,1.0
3,Lanita Bartley,2,10,1,8,1,2,5,8,2,5,3,3,0,2,4,10,0.5,1.5
4,Jordan Jones,1,8,1,5,0,3,0,0,1,1,1,0,0,0,0,2,0.0,0.0
10,School Totals,23,70,19,51,4,19,7,12,18,17,14,9,4,17,23,57,0.1,0.8235294117647058
