,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nnemkadi Ogwumike,11,15,11,15,0,0,7,8,4,5,3,1,0,1,3,29,0.4666666666666667,3.0
1,Joslyn Tinkle,4,10,1,3,3,7,2,2,2,2,3,2,0,2,2,13,0.2,1.5
2,Toni Kokenis,2,8,1,5,1,3,1,2,0,3,8,2,0,1,2,6,0.125,8.0
3,Chiney Ogwumike,6,11,6,11,0,0,0,3,5,12,1,1,0,2,3,12,0.0,0.5
4,Amber Orrange,5,7,4,6,1,1,2,3,1,1,4,2,1,2,1,13,0.2857142857142857,2.0
12,School Totals,30,60,23,42,7,18,14,20,12,24,21,9,2,11,13,81,0.23333333333333334,1.9090909090909092
