,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chassidy Fussell,3,8,2,3,1,5,2,2,2,4,1,1,0,0,1,9,0.25,0.0
1,Celina Rodrigo,1,2,1,2,0,0,0,0,0,4,4,0,0,1,0,2,0.0,4.0
2,Imani Boyette,8,11,8,11,0,0,4,4,4,8,1,2,1,2,2,20,0.36363636363636365,0.5
3,Nneka Enemkpali,3,8,3,8,0,0,0,0,0,0,0,1,0,3,2,6,0.0,0.0
4,Brady Sanders,1,2,1,1,0,1,0,0,1,1,0,0,0,1,2,2,0.0,0.0
13,School Totals,29,56,26,47,3,9,18,18,11,30,11,6,1,18,19,79,0.32142857142857145,0.6111111111111112
