,Pennsylvania ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Baron,10,25,6,16,4,9,1,3,3,1,5,1,0,3,2,25,0.04,1.6666666666666667
1,Meghan McCullough,1,3,1,1,0,2,0,0,0,2,3,0,0,1,2,2,0.0,3.0
2,Kara Bonenberger,2,6,2,6,0,0,3,4,3,3,1,2,1,0,5,7,0.5,0.0
3,Kathleen Roche,0,5,0,2,0,3,0,0,3,1,1,1,0,0,0,0,0.0,0.0
4,Sydney Stipanovich,7,12,7,12,0,0,0,1,0,2,0,0,1,1,4,14,0.0,0.0
13,School Totals,25,66,20,49,5,17,6,10,12,13,12,5,5,9,17,61,0.09090909090909091,1.3333333333333333
