,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angel Robinson,8,20,8,17,0,3,3,4,2,4,8,1,1,2,3,19,0.15,4.0
1,Tatiyiana McMorris,5,14,0,5,5,9,0,0,1,0,0,1,0,3,1,15,0.0,0.0
2,Paige Fiedorowicz,5,12,5,12,0,0,2,4,2,7,1,0,1,2,5,12,0.16666666666666666,0.5
3,Sarina Simmons,2,8,2,8,0,0,0,0,2,3,1,2,1,3,2,4,0.0,0.3333333333333333
4,Katherine Plouffe,0,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0.0,0.0
8,School Totals,27,67,19,49,8,18,8,13,10,18,12,5,3,10,17,70,0.11940298507462686,1.2
