,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Benzan,1,2,0,0,1,2,2,2,0,3,4,2,0,0,2,5,1.0,0.0
1,Chloe Bibby,2,7,1,5,1,2,0,0,0,4,0,1,0,1,1,5,0.0,0.0
2,Ashley Owusu,8,14,6,12,2,2,2,3,0,1,1,0,0,1,1,20,0.14285714285714285,1.0
3,Diamond Miller,9,17,6,9,3,8,3,4,1,8,3,3,1,3,2,24,0.17647058823529413,1.0
4,Angel Reese,5,6,5,6,0,0,11,14,3,6,2,1,1,3,3,21,1.8333333333333333,0.6666666666666666
9,School Totals,30,59,23,43,7,16,22,30,7,29,12,8,2,10,14,89,0.3728813559322034,1.2
