,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tishara Morehouse,3,12,2,8,1,4,1,2,1,4,6,1,0,8,1,8,0.08333333333333333,0.75
1,Kierstan Bell,6,20,4,7,2,13,0,0,1,4,0,3,1,1,2,14,0.0,0.0
2,Kendall Spray,5,9,0,1,5,8,2,2,0,8,0,0,0,3,4,17,0.2222222222222222,0.0
3,Kerstie Phills,3,6,1,1,2,5,0,0,2,0,2,0,0,0,2,8,0.0,0.0
4,Emma List,0,2,0,2,0,0,0,0,1,2,4,0,0,1,4,0,0.0,4.0
14,School Totals,25,65,14,30,11,35,4,6,8,23,14,6,1,15,21,65,0.06153846153846154,0.9333333333333333
