,Montana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Riley Nordgaard,3,14,1,4,2,10,2,2,2,5,3,2,0,1,4,10,0.14285714285714285,3.0
1,Peyton Ferris,10,28,7,16,3,12,10,12,1,6,1,2,0,3,5,33,0.35714285714285715,0.3333333333333333
2,Blaire Braxton,1,2,1,2,0,0,0,0,4,5,0,0,2,2,3,2,0.0,0.0
3,Delaney Junkermier,4,6,3,4,1,2,0,0,1,2,1,0,0,2,2,9,0.0,0.5
4,Hannah Caudill,0,4,0,1,0,3,0,0,0,0,2,0,0,0,2,0,0.0,0.0
11,School Totals,22,68,15,34,7,34,12,14,9,29,10,4,3,14,24,63,0.17647058823529413,0.7142857142857143
