,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,10,20,9,13,1,7,8,8,0,5,1,0,0,1,1,29,0.4,1.0
1,Chantel Osahor,7,14,5,8,2,6,0,1,5,14,3,1,1,0,3,16,0.0,0.0
2,Natalie Romeo,4,11,1,3,3,8,0,0,0,2,0,1,0,0,2,11,0.0,0.0
3,Aari McDonald,6,11,6,9,0,2,3,4,3,4,2,3,1,1,2,15,0.2727272727272727,2.0
4,Katie Collier,1,4,1,4,0,0,2,2,2,1,1,1,1,2,3,4,0.5,0.5
12,School Totals,31,76,24,47,7,29,22,27,13,34,8,9,4,6,16,91,0.2894736842105263,1.3333333333333333
