,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hallie Christofferson,3,6,1,3,2,3,4,4,1,2,1,1,1,1,1,12,0.6666666666666666,1.0
1,Lauren Mansfield,3,6,0,1,3,5,2,2,0,2,5,2,0,7,4,11,0.3333333333333333,0.7142857142857143
2,Chassidy Cole,1,2,0,0,1,2,0,1,2,5,2,1,0,4,3,3,0.0,0.5
3,Chelsea Poppens,5,9,5,9,0,0,1,2,3,5,2,2,1,4,4,11,0.1111111111111111,0.5
4,Nikki Moody,2,5,2,3,0,2,6,8,0,2,2,0,0,9,0,10,1.2,0.2222222222222222
10,School Totals,17,37,8,16,9,21,14,19,7,26,13,6,2,30,16,57,0.3783783783783784,0.43333333333333335
