,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Adrian Ritchie,5,12,3,6,2,6,3,3,0,6,1,1,0,2,0,15,0.25,0.5
1,Julie Wojta,6,11,5,8,1,3,1,2,1,4,4,6,1,2,3,14,0.09090909090909091,2.0
2,Sarah Eichler,5,13,1,3,4,10,2,4,0,0,5,3,0,4,4,16,0.15384615384615385,1.25
3,Lydia Bauer,5,13,1,6,4,7,2,2,1,1,2,2,1,0,4,16,0.15384615384615385,0.0
4,Megan Lukan,0,3,0,1,0,2,2,2,3,2,3,4,0,2,4,2,0.6666666666666666,1.5
10,School Totals,25,57,14,28,11,29,10,13,6,15,17,20,2,12,20,71,0.17543859649122806,1.4166666666666667
