,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shekinna Stricklen,7,17,6,12,1,5,3,6,2,3,4,1,0,0,3,18,0.17647058823529413,0.0
1,Angie Bjorklund,5,22,3,16,2,6,0,0,0,2,7,1,0,1,2,12,0.0,7.0
2,Alyssia Brewer,4,12,4,12,0,0,0,2,2,5,0,0,0,0,4,8,0.0,0.0
3,Alicia Manning,2,7,2,7,0,0,1,1,2,4,1,0,1,0,0,5,0.14285714285714285,0.0
4,Kelley Cain,4,9,4,9,0,0,1,3,5,5,0,0,2,2,4,9,0.1111111111111111,0.0
8,School Totals,25,76,20,60,5,16,7,15,17,22,13,5,3,8,17,62,0.09210526315789473,1.625
