,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jenna Cobb,3,5,1,1,2,4,0,0,0,1,2,3,0,1,2,8,0.0,2.0
1,DyTiesha Dunson,2,2,2,2,0,0,0,0,1,3,1,1,0,1,0,4,0.0,1.0
2,Kaneisha Atwater,3,14,3,11,0,3,2,2,0,4,0,0,0,2,3,8,0.14285714285714285,0.0
3,Whitney Knight,3,12,1,3,2,9,1,2,0,4,3,1,4,4,4,9,0.08333333333333333,0.75
4,Stephanie Haas,0,5,0,4,0,1,1,2,0,0,1,2,0,1,1,1,0.2,1.0
13,School Totals,17,55,10,30,7,25,6,9,2,18,11,7,4,11,12,47,0.10909090909090909,1.0
