,South Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chloe Lamb,4,10,1,4,3,6,4,4,0,4,2,2,0,1,3,15,0.4,2.0
1,Liv Korngable,4,11,3,9,1,2,2,2,0,2,5,1,0,3,2,11,0.18181818181818182,1.6666666666666667
2,Kyah Watson,3,5,2,2,1,3,1,2,0,2,1,0,1,2,2,8,0.2,0.5
3,Hannah Sjerven,6,14,4,11,2,3,2,4,1,3,0,4,1,3,5,16,0.14285714285714285,0.0
4,Maddie Krull,1,4,1,3,0,1,4,5,0,7,2,3,0,2,3,6,1.0,1.0
9,School Totals,20,51,12,35,8,16,13,17,3,23,10,10,2,14,18,61,0.2549019607843137,0.7142857142857143
