,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabrielle Cooper,2,10,0,3,2,7,0,0,1,4,2,0,0,5,2,6,0.0,0.4
1,Amaya Finklea-Guity,3,5,3,5,0,0,0,0,3,1,0,0,2,0,5,6,0.0,0.0
2,Isis Young,4,11,1,2,3,9,0,0,0,0,2,0,0,1,1,11,0.0,2.0
3,Digna Strautmane,1,4,1,2,0,2,0,0,0,2,0,0,1,3,2,2,0.0,0.0
4,Chelayne Bailey,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0,0.0
9,School Totals,21,63,9,28,12,35,3,7,11,20,11,4,3,17,16,57,0.047619047619047616,0.6470588235294118
