,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aari McDonald,7,16,6,11,1,5,2,4,3,8,3,4,1,3,2,17,0.125,1.0
1,Sam Thomas,2,10,0,3,2,7,1,2,0,5,0,3,2,1,1,7,0.1,0.0
2,Cate Reese,5,12,3,10,2,2,0,1,4,1,0,1,0,1,2,12,0.0,0.0
3,Bendu Yeaney,1,2,1,2,0,0,1,2,1,0,0,0,0,0,1,3,0.5,0.0
4,Trinity Baptiste,3,11,3,9,0,2,0,0,5,6,2,1,0,1,5,6,0.0,2.0
8,School Totals,21,59,16,40,5,19,5,13,13,24,7,11,4,8,13,52,0.0847457627118644,0.875
